demo,male,8,year4
pretest-time,1516716791368,1516716946160
pretest,dragonfly,flower
pretest,mouse,apple
pretest,mouse,wheat
pretest,frog,butterfly
pretest,eagle,bird
pretest,wolf,snake
pretest,snake,grasshopper
pretest,frog,dragonfly
pretest,frog,fly
pretest,frog,apple
pretest,fly,apple
pretest,snake,bird
Round1,69997,806.930687500003
Round2,73565,815.1145000000039
midtest-time,1516717189365,1516717271771
midtest,bird,flower
midtest,bird,fly
midtest,bird,wheat
midtest,bird,apple
midtest,mouse,flower
midtest,grasshopper,wheat
midtest,fly,apple
midtest,dragonfly,fly
midtest,butterfly,apple
midtest,snake,bird
midtest,frog,fly
midtest,eagle,bird
Round3,101366,923.1838125000047
Round4,122814,1030.125375000003
posttest-time,1516717569429,1516717641029
posttest,wolf,bird
posttest,eagle,bird
posttest,bird,fly
posttest,bird,butterfly
posttest,snake,bird
posttest,dragonfly,fly
posttest,mouse,wheat
posttest,grasshopper,wheat
posttest,fly,apple
posttest,frog,fly
