demo,male,8,year4
pretest-time,1516975464180,1516975626274
pretest,grasshopper,wheat
pretest,bird,wheat
pretest,wolf,mouse
pretest,eagle,apple
pretest,frog,grasshopper
pretest,butterfly,flower
pretest,snake,fly
Round1,115286,852.6244375000043
Round2,105186,907.7249375000039
midtest-time,1516975935258,1516976033658
midtest,frog,grasshopper
midtest,snake,frog
midtest,wolf,snake
midtest,eagle,mouse
midtest,fly,apple
midtest,butterfly,flower
midtest,bird,fly
midtest,grasshopper,wheat
midtest,dragonfly,butterfly
Round3,59244,712.5768750000032
Round4,109005,928.0670000000032
posttest-time,1516976251084,1516976430793
posttest,frog,grasshopper
posttest,frog,dragonfly
posttest,snake,frog
posttest,bird,apple
posttest,mouse,apple
posttest,eagle,mouse
posttest,dragonfly,wheat
posttest,grasshopper,wheat
posttest,wolf,bird
posttest,fly,apple
posttest,butterfly,flower
