demo,female,8,year4
pretest-time,1516880589042,1516880917365
pretest,fly,flower
pretest,fly,wheat
pretest,eagle,apple
pretest,fly,apple
pretest,eagle,flower
pretest,bird,flower
pretest,bird,wheat
pretest,butterfly,apple
pretest,dragonfly,flower
pretest,dragonfly,apple
pretest,butterfly,wheat
pretest,snake,flower
pretest,grasshopper,apple
pretest,bird,apple
pretest,wolf,apple
pretest,butterfly,flower
pretest,mouse,flower
pretest,grasshopper,wheat
pretest,eagle,wheat
pretest,dragonfly,fly
pretest,frog,fly
Round1,123589,872.3280000000036
Round2,60302,674.3285625000029
midtest-time,1516881188189,1516881303727
midtest,grasshopper,flower
midtest,frog,eagle
midtest,snake,wheat
midtest,snake,flower
midtest,wolf,apple
midtest,bird,eagle
midtest,eagle,wheat
midtest,mouse,flower
midtest,dragonfly,apple
midtest,grasshopper,wheat
midtest,butterfly,flower
midtest,frog,fly
midtest,frog,butterfly
Round3,63027,643.4587500000031
Round4,69625,753.1211250000036
posttest-time,1516881480519,1516881686615
posttest,wolf,grasshopper
posttest,wolf,flower
posttest,dragonfly,flower
posttest,snake,mouse
posttest,snake,butterfly
posttest,snake,grasshopper
posttest,snake,apple
posttest,snake,eagle
posttest,snake,frog
posttest,snake,bird
posttest,snake,flower
posttest,snake,fly
posttest,fly,snake
posttest,fly,flower
posttest,butterfly,fly
posttest,bird,wheat
posttest,fly,apple
posttest,dragonfly,grasshopper
posttest,mouse,wheat
posttest,frog,butterfly
posttest,butterfly,flower
posttest,dragonfly,fly
