demo,female,8,year4
pretest-time,1516803824063,1516804237870
pretest,snake,wheat
pretest,grasshopper,apple
pretest,eagle,bird
pretest,wolf,mouse
pretest,dragonfly,wheat
pretest,butterfly,flower
pretest,frog,fly
Round1,114012,719.074312500003
Round2,144002,858.4712500000044
midtest-time,1516804583899,1516804787077
midtest,eagle,grasshopper
midtest,snake,apple
midtest,frog,fly
midtest,wolf,mouse
midtest,dragonfly,butterfly
midtest,butterfly,flower
midtest,grasshopper,wheat
Round3,81862,830.5980625000038
Round4,111018,960.6040625000048
posttest-time,1516805031637,1516805111523
posttest,snake,bird
posttest,eagle,snake
posttest,wolf,mouse
posttest,frog,fly
posttest,dragonfly,butterfly
posttest,butterfly,flower
posttest,grasshopper,wheat
posttest,fly,apple
