502237,start,0,4
502357,proposed,rul,0.9741969704627991,
504465,autoexe,rul,1,
508302,proposed,encour,0.9860402941703796,
510368,autoexe,encour,1,
512808,proposed,congrats,0.9934887886047363,
514782,autoexe,congrats,1,
516834,proposed,congrats,0.9960705041885376,
517772,doit,congrats,1,
519876,proposed,congrats,0.9858381152153015,
521859,skip,congrats,1,
524001,select,encour,1,
526367,proposed,mvc_grasshopper_wheat-1_169_408,0.9801868200302124,grasshopper,wheat-1
528514,autoexe,mv_grasshopper_169_408,1,grasshopper,wheat-1
528766,doit,mv_grasshopper_169_408,1,grasshopper,wheat-1
535363,proposed,encour,0.9808858633041382,
537367,autoexe,encour,1,
540066,proposed,congrats,0.9765593409538269,
541471,skip,congrats,1,
544009,proposed,rul,0.9864793419837952,
544710,press,rul,1,
554720,select,mv_fly_1042_336,1,fly,apple-2
561512,proposed,congrats,0.992998480796814,
562830,doit,congrats,1,
565019,proposed,rul,0.9651521444320679,
569276,select,mv_grasshopper_351_403,1,wheat-4,grasshopper
576145,proposed,att_fly,0.9843945503234863,fly
578112,press,att_fly,1,fly
578112,select,congrats,1,
580233,proposed,rul,0.9899224042892456,
581832,press,rul,1,
581833,select,encour,1,
584720,proposed,congrats,0.9485024213790894,
586617,skip,congrats,1,
589270,proposed,mvc_fly_apple-1_1219_288,0.9861447811126709,fly,apple-1
590168,press,mv_fly_1219_288,1,fly,apple-1
590168,select,congrats,1,
594882,proposed,encour,0.9930546283721924,
596557,press,encour,1,
596558,select,encour,1,
598808,proposed,rul,0.9946514368057251,
599146,press,rul,1,
599146,select,congrats,1,
601361,proposed,congrats,0.9968883395195007,
602845,skip,congrats,1,
605354,proposed,rul,0.9872987270355225,
606416,press,rul,1,
608622,select,att_frog,1,frog
610881,proposed,mvc_grasshopper_wheat-1_283_522,0.9764267802238464,grasshopper,wheat-1
613010,skip,mv_grasshopper_283_522,1,grasshopper,wheat-1
615465,proposed,congrats,0.9974673390388489,
616252,endround
616711,select,encour,1,
631137,start,1,4
632630,proposed,rul,0.990833580493927,
634632,autoexe,rul,1,
639707,proposed,encour,0.9817254543304443,
641633,press,encour,1,
641633,select,encour,1,
644263,proposed,rul,0.9834946393966675,
645778,skip,rul,1,
647920,select,congrats,1,
649777,proposed,congrats,0.9948095679283142,
650256,proposed,congrats,0.990142822265625,
651270,skip,congrats,1,
654821,proposed,encour,0.9861172437667847,
656823,autoexe,encour,1,
664953,select,att_apple-1,1,mouse,apple-1
667448,proposed,congrats,0.9937901496887207,
668225,press,congrats,1,
668226,select,congrats,1,
670481,proposed,congrats,0.9959034323692322,
671021,press,congrats,1,
671021,select,congrats,1,
673444,proposed,congrats,0.9964090585708618,
674250,press,congrats,1,
674251,select,congrats,1,
676469,proposed,rul,0.9931312799453735,
678499,autoexe,rul,1,
682019,proposed,encour,0.9839847087860107,
684002,press,encour,1,
684002,select,congrats,1,
686517,proposed,congrats,0.998649537563324,
687942,doit,congrats,1,
689985,proposed,congrats,0.9899532794952393,
691703,skip,congrats,1,
693986,proposed,encour,0.9878076314926147,
695035,press,encour,1,
695040,select,congrats,1,
699178,select,mv_snake_543_70,1,snake,mouse
704125,proposed,congrats,0.9939318299293518,
705060,press,congrats,1,
705060,select,congrats,1,
708566,proposed,encour,0.9917875528335571,
710623,autoexe,encour,1,
713120,proposed,rul,0.9763990640640259,
714633,skip,rul,1,
716283,select,congrats,1,
717644,proposed,rul,0.9762127995491028,
719410,skip,rul,1,
721576,proposed,encour,0.9910358190536499,
723578,autoexe,encour,1,
726099,proposed,rul,0.9841338992118835,
728251,autoexe,rul,1,
732133,proposed,congrats,0.9911452531814575,
732333,press,congrats,1,
735173,select,mv_grasshopper_812_518,1,grasshopper,wheat-1
740240,proposed,congrats,0.9879322648048401,
741301,press,congrats,1,
741301,select,congrats,1,
743656,proposed,rul,0.9728533029556274,
745688,autoexe,rul,1,
748769,proposed,encour,0.9782581329345703,
749457,press,encour,1,
749458,select,encour,1,
753252,proposed,rul,0.9716451168060303,
754912,skip,rul,1,
757311,proposed,congrats,0.9811115860939026,
759311,autoexe,congrats,1,
761325,proposed,encour,0.991216242313385,
763296,press,encour,1,
769943,select,mv_dragonfly_349_579,1,butterfly,dragonfly
774415,proposed,encour,0.9798465967178345,
775187,endround
1004237,start,2,4
1004341,proposed,rul,0.9386867880821228,
1006441,autoexe,rul,1,
1008890,proposed,encour,0.9885423183441162,
1010935,autoexe,encour,1,
1013371,proposed,congrats,0.9871717691421509,
1013672,press,congrats,1,
1013672,select,congrats,1,
1016409,proposed,rul,0.9848469495773315,
1018348,press,rul,1,
1018348,select,encour,1,
1020912,proposed,congrats,0.9845077395439148,
1022974,autoexe,congrats,1,
1025396,proposed,congrats,0.9973945021629333,
1026985,press,congrats,1,
1026986,select,congrats,1,
1035153,select,mv_fly_555_78,1,apple-1,fly
1040989,proposed,encour,0.9865169525146484,
1043037,autoexe,encour,1,
1045986,proposed,rul,0.9811127185821533,
1047616,press,rul,1,
1047616,select,congrats,1,
1050957,proposed,encour,0.9791726469993591,
1050997,press,encour,1,
1050997,select,encour,1,
1052632,skip,encour,1,
1053474,proposed,congrats,0.9857031106948853,
1055011,proposed,congrats,0.9926734566688538,
1055511,autoexe,congrats,1,
1060025,proposed,rul,0.9969018697738647,
1062102,autoexe,rul,1,
1065542,proposed,encour,0.9863271117210388,
1067551,autoexe,encour,1,
1069582,proposed,mvc_grasshopper_wheat-1_795_671,0.9855350852012634,grasshopper,wheat-1
1071661,autoexe,mv_grasshopper_795_671,1,grasshopper,wheat-1
1075181,proposed,congrats,0.9924678206443787,
1075885,press,congrats,1,
1075885,select,congrats,1,
1086104,endround
1101550,start,3,4
1103104,proposed,rul,0.990833580493927,
1105026,skip,rul,1,
1107139,proposed,congrats,0.9944952130317688,
1108591,press,congrats,1,
1108592,select,encour,1,
1110655,proposed,mvc_grasshopper_wheat-1_180_534,0.9899349212646484,grasshopper,wheat-1
1112605,skip,mv_grasshopper_180_534,1,grasshopper,wheat-1
1123889,select,congrats,1,
1126212,proposed,congrats,0.9936800003051758,
1126344,press,congrats,1,
1126345,select,congrats,1,
1128770,proposed,encour,0.9885454177856445,
1130497,press,encour,1,
1130498,select,congrats,1,
1133291,proposed,congrats,0.997874915599823,
1134653,press,congrats,1,
1134653,select,congrats,1,
1137723,select,att_bird,1,bird
1139932,proposed,mvc_grasshopper_wheat-1_157_579,0.9884282350540161,grasshopper,wheat-1
1141552,cancel,mv_grasshopper_157_579,-1,grasshopper,wheat-1
1143819,proposed,rul,0.9965255260467529,
