410894,start,0,4
412465,proposed,rul,0.990833580493927,
414156,doit,rul,1,
417002,proposed,mvc_grasshopper_wheat-1_351_431,0.988192081451416,grasshopper,wheat-1
419113,autoexe,mv_grasshopper_351_431,1,grasshopper,wheat-1
419576,doit,mv_grasshopper_351_431,1,grasshopper,wheat-1
426069,proposed,encour,0.9805048704147339,
428119,autoexe,encour,1,
430123,select,congrats,1,
431641,proposed,att_bird,0.9708114862442017,bird
433252,skip,att_bird,1,bird
437012,select,mv_fly_391_183,1,fly
441748,proposed,encour,0.9903728365898132,
443259,press,encour,1,
443260,select,congrats,1,
445661,proposed,congrats,0.9980334043502808,
446612,doit,congrats,1,
448685,proposed,congrats,0.9987779855728149,
450082,press,congrats,1,
450082,select,congrats,1,
452267,proposed,congrats,0.9941754341125488,
453408,press,congrats,1,
453409,select,rul,1,
456946,proposed,rul,0.9895079135894775,
459110,autoexe,rul,1,
462375,proposed,encour,0.986308217048645,
464378,autoexe,encour,1,
466389,proposed,rul,0.9555784463882446,
467427,skip,rul,1,
469950,proposed,rul,0.9945977926254272,
471518,press,rul,1,
471520,select,encour,1,
473973,proposed,rul,0.9847357869148254,
475752,skip,rul,1,
478039,proposed,congrats,0.991119921207428,
480190,autoexe,congrats,1,
482542,proposed,encour,0.9907370805740356,
484675,autoexe,encour,1,
487135,proposed,rul,0.968406081199646,
488092,press,rul,1,
495170,select,congrats,1,
497731,proposed,att_bird,0.9816609621047974,bird
499751,autoexe,att_bird,1,bird
503688,proposed,rul,0.9954719543457031,
505693,autoexe,rul,1,
508746,proposed,congrats,0.998619556427002,
510754,autoexe,congrats,1,
513187,proposed,encour,0.9980752468109131,
514126,press,encour,1,
514126,select,congrats,1,
516225,proposed,rul,0.9641703367233276,
517863,press,rul,1,
517864,select,encour,1,
523916,select,mv_frog_583_137,1,frog,butterfly
529800,proposed,rul,0.999267041683197,
531707,press,rul,1,
531708,select,congrats,1,
533810,proposed,congrats,0.9980144500732422,
534504,endround
548131,start,1,4
549684,proposed,rul,0.990833580493927,
551687,autoexe,rul,1,
554809,proposed,congrats,0.9937798976898193,
556086,press,congrats,1,
556087,select,rul,1,
558819,proposed,congrats,0.9768200516700745,
560927,autoexe,congrats,1,
563312,proposed,mvc_grasshopper_wheat-1_340_-14,0.9860798716545105,grasshopper,wheat-1
565378,autoexe,mv_grasshopper_340_-14,1,grasshopper,wheat-1
569297,proposed,congrats,0.9956725835800171,
570729,press,congrats,1,
570729,select,congrats,1,
572818,proposed,rul,0.9940314888954163,
573683,press,rul,1,
573683,select,rul,1,
576857,proposed,encour,0.9883995056152344,
578885,autoexe,encour,1,
580935,proposed,congrats,0.9987481832504272,
582562,press,congrats,1,
582563,select,congrats,1,
584935,proposed,congrats,0.9931572079658508,
586961,autoexe,congrats,1,
587259,cancel,congrats,-1,
589424,proposed,rul,0.9928247332572937,
590359,press,rul,1,
590359,select,encour,1,
592429,proposed,mvc_snake_frog_661_399,0.9631941318511963,snake,frog
594431,autoexe,mv_snake_661_399,1,snake,frog
598482,proposed,congrats,0.9955908060073853,
599737,press,congrats,1,
599737,select,congrats,1,
601988,proposed,encour,0.9865703582763672,
604083,autoexe,encour,1,
606571,proposed,att_grasshopper,0.9902154803276062,grasshopper
608305,cancel,att_grasshopper,-1,grasshopper
608461,endround
745273,start,2,4
747427,proposed,rul,0.990833580493927,
749217,doit,rul,1,
752387,proposed,mvc_grasshopper_wheat-1_602_169,0.9877235889434814,grasshopper,wheat-1
754500,cancel,mv_grasshopper_602_169,-1,grasshopper,wheat-1
756883,proposed,congrats,0.9989882707595825,
757551,press,congrats,1,
757551,select,congrats,1,
759930,proposed,mvc_grasshopper_wheat-1_294_203,0.9974045753479004,grasshopper,wheat-1
762089,autoexe,mv_grasshopper_294_203,1,grasshopper,wheat-1
768449,proposed,congrats,0.990084171295166,
770600,press,congrats,1,
770600,select,congrats,1,
772965,proposed,encour,0.9825577735900879,
775050,autoexe,encour,1,
777579,proposed,rul,0.9922676682472229,
778556,press,rul,1,
778556,select,congrats,1,
781869,proposed,congrats,0.9976349472999573,
783373,press,congrats,1,
783373,select,encour,1,
788578,proposed,mvc_snake_frog_969_490,0.9749119281768799,snake,frog
788735,press,mv_snake_969_490,1,snake,frog
792477,select,mv_bird_206_305,1,bird,grasshopper
797696,proposed,congrats,0.9936352968215942,
798836,press,congrats,1,
798836,select,congrats,1,
801184,proposed,congrats,0.9951699376106262,
802537,press,congrats,1,
802538,select,rul,1,
805185,proposed,encour,0.995695948600769,
807273,autoexe,encour,1,
808324,endround
822858,start,3,4
824412,proposed,rul,0.990833580493927,
825886,press,rul,1,
837861,select,mv_mouse_108_376,1,wheat-1,mouse
844517,proposed,encour,0.9978550672531128,
846513,press,encour,1,
846513,select,encour,1,
848742,select,congrats,1,
850115,proposed,rul,0.988556981086731,
850568,press,rul,1,
850569,select,congrats,1,
852078,proposed,congrats,0.9917880892753601,
853099,proposed,congrats,0.9977694749832153,
853987,skip,congrats,1,
856097,proposed,rul,0.9947609305381775,
858199,autoexe,rul,1,
862743,proposed,encour,0.9927636981010437,
864778,autoexe,encour,1,
867146,proposed,mvc_snake_frog_205_456,0.9930605888366699,snake,frog
869189,autoexe,mv_snake_205_456,1,snake,frog
869414,cancel,mv_snake_205_456,-1,snake,frog
873199,proposed,rul,0.9796328544616699,
875250,autoexe,rul,1,
878754,proposed,encour,0.9906853437423706,
880756,autoexe,encour,1,
882354,select,mv_dragonfly_796_235,1,dragonfly
887778,proposed,congrats,0.9947622418403625,
889263,press,congrats,1,
889264,select,congrats,1,
891805,proposed,congrats,0.9992667436599731,
892613,endround
