241236,start,0,4
243803,proposed,congrats,0.9956659078598022,
244562,press,congrats,1,
244563,select,rul,1,
247388,proposed,mvc_grasshopper_wheat-1_100_431,0.9773797392845154,grasshopper,wheat-1
249475,autoexe,mv_grasshopper_100_431,1,grasshopper,wheat-1
254832,proposed,congrats,0.958445131778717,
256097,cancel,congrats,-1,
258362,proposed,encour,0.9908056259155273,
258766,press,encour,1,
258767,select,congrats,1,
260900,proposed,congrats,0.9808960556983948,
262104,cancel,congrats,-1,
264414,proposed,congrats,0.9834729433059692,
265202,press,congrats,1,
265202,select,congrats,1,
267409,proposed,congrats,0.9830785989761353,
268450,cancel,congrats,-1,
270902,proposed,congrats,0.9982318878173828,
270903,press,congrats,1,
270905,select,congrats,1,
272079,cancel,congrats,-1,
273930,proposed,mvc_mouse_wheat-1_285_672,0.9875751733779907,mouse,wheat-1
275520,cancel,mv_mouse_285_672,-1,mouse,wheat-1
276009,select,encour,1,
280113,select,congrats,1,
282477,proposed,rul,0.9694787859916687,
284491,press,rul,1,
284492,select,congrats,1,
287016,proposed,congrats,0.9984757900238037,
288344,press,congrats,1,
288344,select,congrats,1,
290536,proposed,mvc_grasshopper_wheat-1_89_618,0.9852158427238464,grasshopper,wheat-1
292153,cancel,mv_grasshopper_89_618,-1,grasshopper,wheat-1
298105,select,mv_butterfly_767_611,1,butterfly,flower-1
303131,proposed,congrats,0.9950742125511169,
303976,press,congrats,1,
303977,select,congrats,1,
306132,proposed,att_grasshopper,0.9940587878227234,grasshopper
307570,cancel,att_grasshopper,-1,grasshopper
316862,select,mv_mouse_235_467,1,wheat-2,mouse
325839,proposed,encour,0.9926839470863342,
327095,press,encour,1,
327096,select,congrats,1,
329394,proposed,congrats,0.9912787079811096,
330748,cancel,congrats,-1,
336775,select,mv_wolf_82_397,1,wolf,mouse
340419,proposed,congrats,0.988667905330658,
341350,press,congrats,1,
341350,select,congrats,1,
343428,proposed,congrats,0.9902887940406799,
343715,press,congrats,1,
343715,select,congrats,1,
345996,proposed,congrats,0.9979414343833923,
346556,press,congrats,1,
346557,select,encour,1,
351512,proposed,congrats,0.9906384348869324,
353515,autoexe,congrats,1,
356368,select,mv_dragonfly_1010_540,1,dragonfly,butterfly
362584,proposed,congrats,0.9807150363922119,
363406,press,congrats,1,
363406,select,congrats,1,
365666,proposed,congrats,0.9944903254508972,
367380,cancel,congrats,-1,
369659,proposed,rul,0.9896824955940247,
370350,press,rul,1,
370350,select,congrats,1,
372626,proposed,congrats,0.9944185614585876,
373046,endround
387320,start,1,4
391092,select,rul,1,
394489,proposed,mvc_mouse_wheat-1_969_399,0.9653306007385254,mouse,wheat-1
395830,cancel,mv_mouse_969_399,-1,mouse,wheat-1
397941,proposed,encour,0.9954847097396851,
398039,press,encour,1,
398039,select,congrats,1,
400521,proposed,congrats,0.9825195074081421,
401104,press,congrats,1,
401104,select,congrats,1,
403452,proposed,congrats,0.9973316192626953,
405526,autoexe,congrats,1,
408085,proposed,mvc_grasshopper_wheat-1_705_442,0.9962455630302429,grasshopper,wheat-1
410170,autoexe,mv_grasshopper_705_442,1,grasshopper,wheat-1
415057,proposed,rul,0.9894587993621826,
417140,autoexe,rul,1,
420623,proposed,att_mouse,0.9681742191314697,mouse
420799,press,att_mouse,1,mouse
420800,select,congrats,1,
423100,proposed,congrats,0.9971076250076294,
423785,press,congrats,1,
423785,select,congrats,1,
429942,select,mv_mouse_136_342,1,apple-2,mouse
437329,proposed,rul,0.9724355340003967,
439270,press,rul,1,
439271,select,congrats,1,
441789,proposed,congrats,0.9954336881637573,
443535,cancel,congrats,-1,
445859,proposed,congrats,0.995611846446991,
446772,press,congrats,1,
446773,select,encour,1,
448822,proposed,congrats,0.99847012758255,
449788,press,congrats,1,
449789,select,congrats,1,
451857,proposed,congrats,0.9917070865631104,
452035,press,congrats,1,
452035,select,congrats,1,
454393,proposed,mvc_mouse_wheat-1_479_319,0.9939603805541992,mouse,wheat-1
455588,cancel,mv_mouse_479_319,-1,mouse,wheat-1
461950,select,mv_wolf_244_390,1,wolf,mouse
469520,proposed,congrats,0.9905098676681519,
471111,press,congrats,1,
471112,select,congrats,1,
473605,proposed,congrats,0.9975591897964478,
474835,cancel,congrats,-1,
475367,select,encour,1,
478866,endround
478867,proposed,att_fly,0.9710193872451782,fly
480975,autoexe,att_fly,1,fly
572744,start,2,4
573809,proposed,rul,0.9741969704627991,
575709,cancel,rul,-1,
577878,proposed,encour,0.9779733419418335,
578289,press,encour,1,
578289,select,rul,1,
