241236,start,0,4
580812,proposed,mvc_grasshopper_wheat-1_249_408,0.9733851552009583,grasshopper,wheat-1
582860,autoexe,mv_grasshopper_249_408,1,grasshopper,wheat-1
587359,proposed,congrats,0.9902965426445007,
588289,press,congrats,1,
588289,select,congrats,1,
594433,select,mv_butterfly_177_246,1,flower-2,butterfly
602906,proposed,congrats,0.9933179020881653,
604185,press,congrats,1,
604186,select,congrats,1,
606417,proposed,rul,0.9955942630767822,
607529,press,rul,1,
607530,select,congrats,1,
609921,proposed,congrats,0.994080662727356,
611030,press,congrats,1,
611030,select,congrats,1,
613446,proposed,congrats,0.9868366122245789,
614432,press,congrats,1,
614433,select,encour,1,
618505,proposed,rul,0.9839935302734375,
620144,press,rul,1,
620144,select,congrats,1,
622523,proposed,congrats,0.9919195175170898,
624278,press,congrats,1,
624278,select,rul,1,
627609,proposed,encour,0.9834670424461365,
629643,autoexe,encour,1,
632147,proposed,congrats,0.9945968389511108,
632484,press,congrats,1,
632484,select,congrats,1,
634633,proposed,congrats,0.9919332265853882,
636047,cancel,congrats,-1,
638671,proposed,congrats,0.9810438752174377,
638671,press,congrats,1,
638672,select,congrats,1,
640215,skip,congrats,1,
642676,proposed,encour,0.9724717736244202,
644735,autoexe,encour,1,
648704,proposed,congrats,0.9703885912895203,
650128,cancel,congrats,-1,
652309,proposed,rul,0.9856218695640564,
654421,autoexe,rul,1,
657755,proposed,congrats,0.9891120195388794,
658624,endround
671917,start,3,4
673459,proposed,rul,0.9851688742637634,
675460,autoexe,rul,1,
678496,proposed,congrats,0.9971436262130737,
680539,autoexe,congrats,1,
683056,proposed,congrats,0.9984902143478394,
683937,press,congrats,1,
683937,select,congrats,1,
686046,proposed,congrats,0.9942682981491089,
687554,doit,congrats,1,
690142,proposed,congrats,0.992907702922821,
691562,cancel,congrats,-1,
694100,proposed,congrats,0.9993273019790649,
694100,press,congrats,1,
694100,select,congrats,1,
697099,proposed,encour,0.9894440174102783,
699163,autoexe,encour,1,
701597,proposed,rul,0.9920246601104736,
703548,press,rul,1,
703549,select,congrats,1,
707898,select,mv_mouse_985_587,1,mouse,apple-1
711678,proposed,congrats,0.9795215129852295,
713713,autoexe,congrats,1,
716658,proposed,congrats,0.9933616518974304,
716790,press,congrats,1,
716790,select,rul,1,
720267,proposed,mvc_mouse_wheat-1_353_479,0.9763103127479553,mouse,wheat-1
721935,cancel,mv_mouse_353_479,-1,mouse,wheat-1
724257,proposed,congrats,0.9939703941345215,
724670,press,congrats,1,
724670,select,congrats,1,
729375,select,mv_bird_46_241,1,bird,wheat-1
734874,proposed,congrats,0.997603178024292,
735733,press,congrats,1,
735733,select,congrats,1,
737908,proposed,congrats,0.9959680438041687,
739268,press,congrats,1,
739268,select,congrats,1,
741483,proposed,congrats,0.9956709742546082,
743614,cancel,congrats,-1,
745995,proposed,congrats,0.9801158905029297,
746186,press,congrats,1,
746186,select,encour,1,
748523,proposed,rul,0.9878575801849365,
749234,press,rul,1,
749235,select,congrats,1,
751275,select,encour,1,
751459,endround
