245743,start,0,4
265303,select,congrats,1,
267856,proposed,congrats,0.8142385482788086,
269321,cancel,congrats,-1,
271399,proposed,congrats,0.9446212649345398,
271575,press,congrats,1,
271576,select,congrats,1,
273849,proposed,congrats,0.9477902054786682,
275198,press,congrats,1,
275198,select,congrats,1,
277994,select,mv_grasshopper_334_525,1,wheat-1,grasshopper
282907,proposed,congrats,0.9456450939178467,
284135,press,congrats,1,
284135,select,congrats,1,
288583,select,att_mouse,1,mouse
290966,proposed,congrats,0.9913101196289062,
292968,autoexe,congrats,1,
295486,proposed,congrats,0.9090258479118347,
296690,cancel,congrats,-1,
299113,proposed,att_mouse,0.9534249305725098,mouse
299793,press,att_mouse,1,mouse
299794,select,congrats,1,
302055,proposed,congrats,0.9853942394256592,
303406,press,congrats,1,
303406,select,congrats,1,
305614,proposed,att_mouse,0.9564875960350037,mouse
307543,cancel,att_mouse,-1,mouse
310683,select,encour,1,
313217,proposed,encour,0.8560125827789307,
314659,press,encour,1,
314659,select,rul,1,
315677,endround
329580,start,1,4
331150,proposed,mvc_grasshopper_wheat-1_420_146,0.8745974898338318,grasshopper,wheat-1
333242,autoexe,mv_grasshopper_420_146,1,grasshopper,wheat-1
333744,cancel,mv_grasshopper_420_146,-1,grasshopper,wheat-1
336637,proposed,congrats,0.930138111114502,
338416,press,congrats,1,
338417,select,congrats,1,
343626,select,mv_fly_1129_233,1,fly,apple-1
348038,proposed,att_mouse,0.9130024909973145,mouse
349331,press,att_mouse,1,mouse
349332,select,congrats,1,
351892,proposed,att_mouse,0.9836575984954834,mouse
354099,autoexe,att_mouse,1,mouse
356200,proposed,congrats,0.9807695746421814,
358201,autoexe,congrats,1,
360231,proposed,mvc_grasshopper_wheat-1_648_41,0.9929308295249939,grasshopper,wheat-1
361671,cancel,mv_grasshopper_648_41,-1,grasshopper,wheat-1
363789,proposed,encour,0.950998067855835,
365806,autoexe,encour,1,
368294,proposed,congrats,0.9970062375068665,
370342,cancel,congrats,-1,
372559,select,congrats,1,
373838,proposed,mvc_grasshopper_wheat-1_648_41,0.9663723111152649,grasshopper,wheat-1
375323,cancel,mv_grasshopper_648_41,-1,grasshopper,wheat-1
377147,select,congrats,1,
