demo,male,8,year4
pretest-time,1516801751395,1516802090041
pretest,butterfly,dragonfly
pretest,bird,grasshopper
pretest,wolf,flower
pretest,eagle,wheat
pretest,snake,mouse
pretest,frog,fly
Round1,130932,913.7273750000044
Round2,135031,969.8600625000041
midtest-time,1516802443808,1516802563217
midtest,wolf,dragonfly
midtest,snake,apple
midtest,eagle,mouse
midtest,butterfly,flower
midtest,bird,wheat
midtest,frog,fly
Round3,103029,917.6446250000038
Round4,99369,910.3093125000037
posttest-time,1516802818205,1516802910946
posttest,dragonfly,apple
posttest,snake,mouse
posttest,butterfly,flower
posttest,grasshopper,wheat
posttest,frog,fly
posttest,fly,apple
posttest,bird,wheat
