demo,male,8,year4
pretest-time,1516968618589,1516968867988
pretest,frog,fly
Round1,135017,765.8964375000037
Round2,123741,847.993750000004
midtest-time,1516969215180,1516969264019
midtest,mouse,wheat
midtest,fly,apple
midtest,butterfly,flower
midtest,frog,fly
Round3,134993,888.3949375000037
Round4,106042,924.3735625000036
posttest-time,1516969547896,1516969595270
posttest,dragonfly,butterfly
posttest,fly,apple
posttest,mouse,wheat
posttest,butterfly,flower
posttest,eagle,snake
posttest,frog,fly
