demo,male,8,year4
pretest-time,1516974401765,1516974796959
pretest,grasshopper,wheat
pretest,wolf,apple
pretest,butterfly,flower
pretest,dragonfly,grasshopper
pretest,eagle,mouse
pretest,snake,bird
pretest,frog,fly
Round1,55749,590.9990625000025
Round2,32528,538.9735000000026
midtest-time,1516974970016,1516975027506
midtest,mouse,wheat
midtest,bird,grasshopper
midtest,bird,butterfly
midtest,eagle,snake
midtest,eagle,wolf
midtest,frog,fly
midtest,frog,dragonfly
Round3,33826,583.0998125000029
Round4,84003,847.5663750000035
posttest-time,1516975192310,1516975250132
posttest,grasshopper,wheat
posttest,snake,dragonfly
posttest,snake,mouse
posttest,butterfly,apple
posttest,bird,apple
posttest,bird,wheat
posttest,frog,butterfly
posttest,frog,fly
posttest,eagle,frog
